ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2021.0;1.0;2021-01-01;Alvorada;Aline;MG;Andrelândia;47,62;25,72;271,21;20,93;76,83;14,63;38,75;28,13;99,61;1,00;0,00;7,04
2021.0;1.0;2021-01-01;Alvorada;Alvorada;PR;Piraí do Sul;2305,67;1515,62;201,78;20,91;86,51;15,21;60,00;28,16;99,69;0,00;0,00;7,01
2021.0;1.0;2021-01-01;Alvorada;Antonio Fontes;MG;Andrelândia;56,25;32,74;275,72;20,93;76,83;14,63;38,75;28,13;99,61;1,00;0,00;7,04
2021.0;1.0;2021-01-01;Alvorada;Anézio;MG;Liberdade;95,47;48,54;275,25;20,76;76,77;14,41;36,55;28,14;99,52;1,00;0,00;5,76
2021.0;1.0;2021-01-01;Alvorada;Aterrado;MG;Liberdade;200,75;92,25;275,25;20,76;76,77;14,41;36,55;28,14;99,52;1,00;0,00;5,76
2021.0;1.0;2021-01-01;Alvorada;Barra Grande;PR;Doutor Ulysses;494,73;140,95;208,59;21,46;89,38;15,90;53,16;29,51;100,00;0,00;0,00;1,77
2021.0;1.0;2021-01-01;Alvorada;Barro Branco;SP;Apiaí;421,02;187,65;216,13;20,79;90,68;15,55;52,13;28,55;100,00;0,00;0,00;82,00
2021.0;1.0;2021-01-01;Alvorada;Bela Vista;PR;Arapoti;918,50;527,00;270,39;21,98;85,52;16,20;56,99;29,37;99,99;0,00;0,00;2,99
2021.0;1.0;2021-01-01;Alvorada;Boa Vista;PR;Ventania;110,44;41,38;293,21;21,94;85,59;16,16;57,05;29,33;99,99;0,00;0,00;0,03
2021.0;1.0;2021-01-01;Alvorada;Boca do Mato;MG;Bom Jardim de Minas;29,07;14,78;272,43;21,90;74,57;15,83;33,51;29,72;99,77;0,00;0,00;12,05
2021.0;1.0;2021-01-01;Alvorada;Boqueirão;PR;Ibaiti;123,34;58,52;277,14;22,37;84,48;16,53;54,93;29,76;99,86;0,00;0,00;1,46
2021.0;1.0;2021-01-01;Alvorada;Butiá Grande;PR;Jaguariaíva;14,22;12,24;223,67;20,52;88,67;14,77;62,61;27,55;99,84;2,00;0,00;12,15
2021.0;1.0;2021-01-01;Alvorada;Cachoeira Alta;MG;Andrelândia;93,39;47,08;278,21;21,35;75,41;14,92;36,62;28,51;99,73;1,00;0,00;15,73
2021.0;1.0;2021-01-01;Alvorada;Cadeado I;PR;Jaguariaíva;21,17;12,29;220,64;20,54;89,69;14,83;56,89;27,85;100,00;1,00;0,00;8,97
