2026-04-16T11:53:10.406515,INFO,auth_login_log,Login realizado,fabio,fabio,admin,SUCCESS
2026-04-16T11:55:47.699500,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T02:42:23.106781,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T02:58:05.194469,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:17:43.033169,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:30:39.125888,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:37:03.248051,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:47:23.711403,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:54:23.991469,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:56:44.209094,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:57:18.363632,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:09:15.186347,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:11:56.649867,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:19:40.936505,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:24:30.616689,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:24:50.742271,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:43:14.878616,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T15:56:51.706396,ERROR,auth_login_log,Falha no login,unknown,,unknown,FAIL
2026-04-17T17:22:06.701914,ERROR,auth_login_log,Falha no login,unknown,,unknown,FAIL
2026-04-17T17:22:45.589296,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T17:31:08.829827,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T18:34:05.690178,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T22:45:26.216130,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T22:47:13.845116,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T22:53:35.244287,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T22:59:00.998397,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:07:56.999765,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:12:01.463299,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:17:29.640418,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:26:17.412401,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:30:35.235352,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:39:28.814685,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T23:40:08.393418,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T00:33:35.157943,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T00:36:03.989043,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T00:47:15.077277,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:00:30.947628,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:03:10.499637,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:07:00.366023,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:12:01.360736,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:28:07.755529,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:56:20.569515,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:59:01.032544,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T01:59:25.648923,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:01:59.984499,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:06:41.880499,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:10:21.290860,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:13:16.070389,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:16:19.049839,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:35:05.608711,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T02:59:52.217284,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T03:15:46.754577,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T03:21:16.190367,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T03:23:59.520929,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-18T03:28:42.160992,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
